TITLE	CATEGORY
Fitch Lowers South Africa Credit-Rating Outlook to Negative	b
FOREX-Dollar rises on US rate speculation after Yellen comments	b
UPDATE 2-Mexico's lower house generally approves telecoms bill	b
U.S. Navy SEALs take control of North Korean-flagged tanker Morning Glory in  ...	b
Beyonce - Beyonce And Jay Z Pay Tribute To Michael Jackson As Tour Kicks Off	e
Jennifer Lopez shows off fabulous figure in an elaborate sequined pencil dress  ...	e
As I Lay Dying's Timothy Lambesis Sentenced To 6 Years In Prison For Murder  ...	e
Carney Will Spell Out Strategy as He Pushes BOE Revamp	b
Teva willing to post $500 million bond in Copaxone case	b
All aboard! Kim Kardashian dons clinging black dress for boat ride with Kourtney  ...	e
White House: no change to US policy on crude oil exports	b
Amazon's Sales Satisfy the Street	b
US Federal Reserve Meeting Minutes for June 18 (Text)	b
UPDATE 5-Microsoft to cut 18000 jobs this year as it chops Nokia	t
"Miranda Kerr Opens Up About Wanting To ""Explore"" Sexuality In Racy GQ Photo  ..."	e
American Apparel CEO is fired after being ousted not only for sexual harassment  ...	b
SanDisk to buy Fusion-io for $1.1 bln	b
"LOS ANGELES (AP) — Edgar Wright and ""Ant-Man"" are going their separate ways."	e
'Game Of Thrones' Season 4 Episode 3 Recap: 'Breaker Of Chains'	e
NYT Publisher Sulzberger Says Abramson Firing Driven By Conduct	b
Work hard, play hard! Zac Efron embarks on fitness session with businessman  ...	e
S.Korea stocks edge down after Samsung Elec's weak Q2 earnings guidance	b
UPDATE 3-Russian sanctions ripple through corporate boardrooms	b
Zac Efron - Zac Efron: 'Weight' was lifted after addiction confession	e
UPDATE 2-'Heartbleed' blamed in attack on Canada tax agency, more expected	t
"Julia Roberts Opens Up About The ""Heartbreak"" Over Half-Sister's Suicide"	e
Jordin Sparks dazzles in sparkling LBD as she shows off her dramatic weight  ...	e
Rescuers free three trapped Honduran miners, eight still missing	b
Chris Brown - Chris Brown prepares for trial	e
UPDATE 2-Peace Corps pulls volunteers from West Africa due to Ebola	m
2014 James Beard Awards: Chefs And Restaurants Winners Are… – Eatocracy  ...	e
Alice Cooper - Alice Cooper Pays Tribute To Late Guitarist	e
Kim Kardashian carries adorable baby North	e
RPT-Samsung Elec replaces mobile design head	t
UPDATE 3-US grounds entire F-35 fleet pending engine inspections	b
Dollar Strengthens as Treasury Yields Boost Allure	b
So, Should You See 'The Amazing Spider-Man 2' or 'Neighbors' Tonight?	e
Doing what he does best: Sir Mick Jagger puts on energetic performance in first  ...	e
Kim vs Khloe: The Kardashian sisters post sexy selfies within minutes of each  ...	e
Freeway reopens after beams fall into lanes	b
Medtronic valve for heart defects works well a year later-study	m
Michigan meat company recalls 1.8MILLION pounds of ground beef after 11 E  ...	m
CORRECTED-Russia to challenge Hague Court's Yukos ruling -Finance Ministry	b
UPDATE 3-BMW's $1 billion plant surfs Mexican investment wave	b
How it took Triceratops a million years to get its horn: Researchers revealed  ...	t
Did Jesus Die Singing?	e
Healthy Role Model: Please LeBron James, Just Do It	b
Sprint Matches T-Mobile's Prepaid Plan Amid Merger Push (1)	t
Twitter reports $250 mln 1st quarter revenue, 255 mln users	b
Heroin Users Are 90 Percent White, Living Outside Urban A	m
Rolf Harris sings Jake the Peg to sex case jury then tells them - I'm just a 'touchy  ...	e
GM Still Hasn't Tested Whether A Knee Bump Can Turn Off Engine	b
Lena Dunham - Lena Dunham parties with Taylor Swift after hosting debut	e
FOREX-New Zealand dollar shines in subdued currency market	b
'She wasn't going to allow a Kardashian to socially climb her'....real reason  ...	e
Sir Mick Jagger - L'wren Scott's Funeral To Be Held In Los Angeles - Report	e
Kim Kardashian in 'extreme dieting mode' before wedding to Kanye West	e
UPDATE 1-BofA pays AIG $650 million to settle mortgage disputes	b
Selfie-assured Kim Kardashian fearlessly flaunts her new blonde wig as she  ...	e
GLOBAL MARKETS-US inflation rise boosts dollar, Treasury yields; stocks mixed	b
Google's Stake in $2 Billion Apple-Samsung Trial Revealed (1)	t
US STOCKS-Wall St rises on Yellen; S&P on track for modest Q1 gain	b
Dr. Dre Just Declared Himself 'The First Billionaire In Hip Hop'	t
Nissan sees global sales of 5.65 mln vehicles this fiscal year	b
H.R. Giger Dies: Celebrating The â€˜Alienâ€™ Visionaryâ€™s Nightmarish  ...	e
What shot down MH17? Soviet-built BUK surface-to-air missile launcher  ...	b
PRECIOUS-Gold dives more than 2 pct as selling hits precious metals	b
FOREX-Euro stabilises but still in the doldrums on ECB threat	b
PetMatch app finds you a new pet that looks similar to your dead animal	t
US bond yields near lows even if jobs numbers stay rosy	b
BofA Reaches $950 Million Deal on FGIC-Backed Mortgage Bonds (2)	b
GRAINS-Corn falls to 3-1/2 month low as weather favors US crops	b
UPDATE 1-NASA carbon dioxide-hunting telescope reaches orbit	t
Paying it forward: Shopper, 73, buys $120 worth of diapers for cash-strapped  ...	b
BSkyb in Talks to Buy Fox European Pay-TV Assets	b
Gi Joe Creator Dead At 86	e
UK Omitted From Plan to Eliminate TB in Rich Countries	m
Lindsay Lohan makes her London West End debut in David Mamet's Speed-The  ...	e
'As funny as a liver transplant!' Melissa McCarthy's comedy Tammy is slammed  ...	e
Full House will return to TV with revival starring original cast	e
Safran's CFM unit scores $2 bln engine order	b
Billy Joel - Billy Joel's daughter thanks fans	e
BoComm yuan bonds could yield 3.45 pct in Taiwan -sources	b
Dove 'Patches' Ad Tricks Women Into Believing That A Sticker Can Solve Low  ...	m
Argentina Calls Billionaire Foe to Talk Over Default Spat	b
UPDATE 1-Lithuania ready to adopt euro from 2015, Commission says	b
UPDATE 1-States must be warned of oil-by-rail cargoes, US says	b
First official pic of Fifty Shades' Grey	e
Malaysian Crew Member's Husband Asks Court's Aid for Suit (1)	b
Pandora One Will Cost $4.99 A Month	b
Barclays shifts senior executive to dark pool investigation	b
T-Mobile Sued by US for Bogus Customer Charges	t
Reunited And It Feels So Good: Justin Bieber And Selena Gomez, Will They Last?	e
S&P 500 Gains for Third Day on Yahoo Earnings, Factory Report	b
The Five Strangest Items for Sale at Home Depot	b
China Swaps Complete First Weekly Gain in Four on Improving Data	b
Fitch Affirms Region of Lazio at 'BBB'; Outlook Negative	b
UPDATE 2-FireEye forecasts bigger loss as R&D spending rises	b
Game Of Thrones sees Danaerys takes on another slave city	e
Muppets Most Wanted Movie Review	e
UPDATE 1-Euro zone private sector loans contract further in Feb -ECB	b
Netflix Cracks US Cable Market in Deals With 3 Providers (2)	e
Asian shares struggle, dollar slips as Ukraine tensions rise	b
FOREX-Euro struggles after German data, nears 2-year low vs sterling	b
Uninsured Rate Falls To Lowest Since 2008: Gallup	b
BOJ says recovery, inflation on track despite tax hike	b
7 Roles That Taught Hugh Jackman About Life: From 'X-Men' To The Oscars	e
Qatar Air Relegates First-Class to Niche Market in Business Push	b
Comcast Just Accused Netflix Of Screwing Its Users To Make A Point	e
Jk Rowling. Daniel Radcliffe - JK Rowling releases Harry Potter tale	e
Airlines struggling to break even will make 'less than £4 profit per passenger' this  ...	b
UPDATE 2-Nuclear power producer Exelon to buy Pepco for $6.83 bln	b
'Game Of Thrones' Season 4 Episode 2 Recap: 'The Lion And The Rose'	e
How Are The Critics Reacting To Melissa McCarthyâ€™s â€˜Tammyâ€™?	e
UPDATE 1-Saudi Arabia sacks minister criticised over handling of MERS	m
Piketty Rejects 'Ridiculous' Allegations of Data Flaws	b
UPDATE 1-WHO says MERS virus of concern before haj, surge abating	m
UPDATE 1-China HSBC flash PMI at five-month high of 49.7, orders rebound but  ...	b
Tv - Nate Berkus Weds In Historic Ceremony	e
Kendall Jenner swaps satin couture for leather pants the day after the Met Gala	e
Kim Kardashian - Kim Kardashian Vows To Fight Racism	e
US STOCKS-Wall St flat, but tech and biotech lift Nasdaq	b
Gold Futures Rise for Second Day as Equity Decline Spurs Demand	b
Divergent steals number one at the box office with $56M opening weekend	e
Gwyneth Paltrow - Gwyneth Paltrow's mum helping her with split	e
GLOBAL MARKETS-Corporate news lifts stocks, tight money markets buoy euro	b
Paul Walker - Paul Walker's brothers help complete movie	e
Behind CDC's Anthrax Lapse, an 'Insufficient Culture of Safety'	m
Time Warner Cable Makes Hilariously Absurd Argument For Comcast Merger	b
"Robin Thicke Thanks ""My Wife"" Paula Patton At 2014 Billboard Music Awards"	e
UPDATE 3-Novartis and Google to develop 'smart' contact lens	t
BNP to Buy 81% of UniCredit's DAB Bank for 354 Million Euros	b
Coldplay frontman Chris Martin at the center of rumors of friendship with  ...	e
Your Facebook Experience Was Never Emotionally Neutral	t
Draghi Says Weaker Inflation Could Trigger Broader Asset Buying	b
Should We Be Worried About MERS Spreading In America?	m
Draghi Convenes Retreat as ECB Contemplates New Horizon	b
Tossing lettuce in olive oil with a sprinkling of nuts and avocado boosts heart  ...	m
CORRECTED-UPDATE 1-Shire, AbbVie to announce $53 bln merger by Friday  ...	b
WHO Urges West Africa Governments to Agree on Ebola Response	m
Home > Shailene Woodley > Shailene Woodley Hooks Up With Co-star?	e
GLOBAL ECONOMY-Most major economies end first quarter on weaker note	b
Draghi Tells German Lawmakers ECB Bond-Purchases Unlikely	b
'Snow White and the Huntsmen 2': Frank Darabont In, Kristen Stewart Out	e
RPT-Fitch Affirms India at 'BBB-'; Outlook Stable	b
Game Of Thrones Season Four, Episode One premiere spoiler	e
European Factors to Watch-Shares seen steady at open, BNP in focus	b
US STOCKS SNAPSHOT-Wall St opens lower after S&P's record close	b
TABLE-US March durable goods orders rise 2.6 pct	b
UPDATE 1-LSE set to buy US firm Frank Russell, plans rights issue	b
Gold Rebounds From a Three-Week low as India Imports Gain	b
Muppets: Most Wanted Isn't Just For Kids, Apparently	e
First Nighter: Sam Mendes's Revived 'Cabaret' Runs on Dimmed Lights	e
Are Joe Manganiello And Sofia Vergara Dating?	e
Nearly Half Of Americans Believe In Medical Conspiracy Theories	m
UPDATE 1-Russia's Lavrov says South Stream timelines on track	b
Dollar Drops Most Since September as Fed Minutes Damp Rate Bets	b
UPDATE 1-Fannie Mae to pay US Treasury $5.7 billion on quarterly profit	b
Amazon Fire Phone: Everything You Need To Know	t
Apple Defies Skeptics With Sales Surge, Boosts Buyback	t
Twitter forced to shut down Tweetdeck app amid major security alert	t
Brad Paisley - Brad Paisley Takes 'Selfie' With Westboro Baptist Church Members	e
American Ebola Patient Coming To US	m
UPDATE 4-GM prepares to recall some Cruze sedans with Takata air bags	t
US Stocks Rise on Earnings, Deals as Dollar Advances	b
US STOCKS SNAPSHOT-Wall St opens flat after six-day rally	b
Int'l Space Station gets Easter delivery of food, supplies	t
FCC Head To Revise Broadband Rules Plan - WSJ.com	t
Baptism of ire! Brad Paisley winds up church activists by taking cheeky selfie at  ...	e
Rapper Jay Z brings 'Made in America' music fest to Los Angeles	e
UPDATE 4-Seized oil tanker Morning Glory arrives in Libyan capital	b
Stocks set for quarterly gains, yen at five-week high	b
UPDATE 3-IBM software sales weaker than expected in 2nd quarter	b
Gwyneth Paltrow spotted for first time since marriage split without her wedding  ...	e
The Critics Have Their Say On Lena Dunham Hosting 'Saturday Night Live'	e
Puerto Rico Electric Authority Pushes Off Bank Loans to Aug. 14	b
UPDATE 3-Sprint agrees to pay about $40/shr to buy T-Mobile -source	b
Pippa Middleton looks cool and chic in forties-inspired playsuit for laid back  ...	e
"Scotty McCreery on Gunpoint Robbery: ""A Very Scary Night"""	e
US STOCKS-S&P 500 ends at record on housing, HP; transports fly	b
David Gilmourâ€™s Wife Lets Slip Details Of Pink Floydâ€™s New Album â  ...	e
Oscar Pistorius murder trial set to resume after month-long break for health  ...	m
Zac Efron 'would like to make fourth High School Musical movie'	e
"Jupiter ""disappointed"" at AstraZeneca's rejection of Pfizer bid"	b
UPDATE 1-All workers test negative for MERS at Indiana hospital-official	m
Kylie and Kendall Jenner poke fun at Kim and Kanye's Vogue cover	e
RPT-UPDATE 2-Samsung Elec's lower Q1 estimate highlights smartphone  ...	b
JETS' NEAR-MISS CAUGHT ON FILM	b
Out of this world: Photos of Grand Canyon taken by astronauts show natural  ...	t
Making a quick getaway? Jenny McCarthy 'flees to Turks and Caicos' with fiancé  ...	e
Beyonce Changes Lyrics To 'Resentment,' Internet Explodes With Jay Z  ...	e
Neil Patrick Harris - Neil Patrick Harris nominated for first Tony Award	e
French bank BNP Paribas agrees to pay £5.2billion compensation to resolve  ...	b
'Transformers 4' Extinguishes Box Office Rivals With Monster Opener	e
The parents in denial over their kids' size: Number who can spot if child is  ...	m
Endocyte Shares Double After Drug Shown to Slow Lung Cancer (2)	m
'I was involved in no fight': Columbus Short denies any wrongdoing after arrest  ...	e
UPDATE 1-BlackBerry buffs up security credentials with Secusmart deal	t
European Factors to Watch-Shares set to consolidate after strong week	b
Glee - Glee Stars Celebrate 100th Episode With Los Angeles Party	e
Pete Tong - Pete Tong leads tributes to Frankie Knuckles	e
Ford, Toyota Sales Top Estimates in Big Month for SUVs	b
FOREX-Dollar down vs yen, Swiss franc as Ukraine tensions feed safety bid	b
'Love is my reason to live': The Bachelorette contestant Eric Hill appears in final  ...	e
Gazprom files lawsuit in Stockholm court to recover Ukraine debt	b
US STOCKS SNAPSHOT-S&P 500, Nasdaq rise after strong results	b
Hilary Duff Daydreams About Bikinis And Beaches In 'Chasing The Sun' Video	e
Prince To Release New Album With New Warner Bros. Records Partnership	e
Pound Pares Drop as Putin Says Russia Not Planning Ukraine Split	b
Wal-Mart takes on money transfer companies with new service	b
Michael Jackson fans - and quite a few impersonators - lay flowers to mark fifth  ...	e
Ebola Cases May Surpass 20000, WHO Says in Updated Plan	m
CORRECTED-Candy Crush game maker's IPO to face investor scrutiny	b
"So, Tupac Shakur's Final Words Were A Big ""F*CK YOU"" To Cops"	e
Facebook's Mark Zuckerberg earned $3.3billion in 2013 by selling stock options	b
Air Products appoints new CEO; shares at life-high	b
GLOBAL MARKETS-Shares trim losses, dollar dips after jobs report	b
'Scandal' Star Columbus Short Allegedly Threatens To Kill Wife, Restraining  ...	e
Fitch Publishes Sector Credit Factors for Japanese Insurers	b
CANADA STOCKS-TSX opens lower on weak data, lower commodity prices	b
Toyota Said to Reach $1.2 Billion US Criminal Settlement (2)	b
JPMorgan To Invest $100 Million In Detroit	b
Sunday Roundup	t
Joe Manganiello - Joe Manganiello Dating Sofia Vergara - Report	e
CORRECTED-US STOCKS-Wall St pares losses as Ukraine concerns ease	b
Orlando Bloom - Orlando Bloom wants to inspire son	e
HP Names CEO Whitman as Chairman Replacing Whitworth	b
ECB Summons Bankers for Catch-Up as Stress Test Looms	b
Matthew Cowles Dead: 'All My Children' Actor Dies At 69	e
Kim Kardashian Is A Blonde Again (UPDATE)	e
UPDATE 2-Disney to buy YouTube network Maker Studios for $500 mln	b
Family Dollar, other retailers see shoppers pull back	b
US STOCKS-Wall Street falls on broad weakness, Pfizer drags	b
No 'Mean Girls' Sequel, Says Tina Fey: 'Mean Girls 2' Doesn't Count	e
Woody Allen's 'Bullets Over Broadway' Looks Dazzling, But Misses Its Target	e
BP's Lake Michigan Oil Spill: More Mess and Less Transparency From the  ...	b
Marriage hasn't tamed her! Kim Kardashian exposes ample bosom in completely  ...	e
Cut Alzheimer's risk by walking: It only takes 20 minutes, 3 times a week, say  ...	m
